YEAR,RANK,STARTS,WINS,POLES,TOP 5,TOP 10,PTS,,
2007,2,17,4,6,14,16,109,,
2008,1,18,5,7,13,15,98,,
2009,5,16,2,4,6,9,49,,
2010,4,19,3,1,13,15,240,,
2011,5,19,3,1,13,16,227,,
2012,4,20,4,7,10,14,190,,
2013,4,19,1,5,13,17,189,,
2014,1,19,11,7,16,16,384,,
2015,1,19,10,11,17,18,381,,
2016,2,21,10,11,18,19,380,,
2017,1,20,9,10,18,20,363,,
2018,1,21,11,10,20,20,408,,
2019,1,21,11,5,19,21,412,,
2020,1,16,11,10,15,16,347,,
2021,2,21,8,7,19,20,387.5,,
2022,6,22,0,0,15,19,240,,
2023,3,21,0,1,12,20,234,,
2024,7,24,2,0,10,21,223,,
,,,,,,,,,